ambulance_id,seconds_worked
0,29192
1,17855
2,11251
3,16537
4,25096
5,26509
6,17025
7,11735
8,15838
9,10151
10,24572
11,6204
12,12092
13,23944
14,12910
15,7810
16,14329
17,7398
18,29781
19,23998
20,19440
21,21128
22,20179
23,13464
24,26047
25,23500
26,12652
27,11686
28,26380
29,16939
30,24459
31,17104
32,20739
33,22455
34,22691
35,23641
36,23405
37,22379
38,14371
39,6537
40,27732
41,17302
42,21150
43,15390
44,28724
45,22741
46,33287
47,28002
48,32296
49,17181
50,19764
51,18760
52,13127
53,10382
