ambulance_id,seconds_worked
0,11077
1,29223
2,17731
3,6405
4,12353
5,19779
6,0
7,30645
8,11879
9,9144
10,15854
11,21130
12,5925
13,577
14,21592
15,13066
16,4334
17,10795
18,7854
19,10007
20,7176
21,13907
22,6119
23,19036
24,15106
25,24340
26,22826
27,25845
28,21888
29,13413
30,20783
31,19131
32,11237
33,24168
34,26266
35,23432
36,23957
37,25256
38,26296
39,27049
40,25609
41,9439
42,19702
43,14154
44,15363
45,11116
46,19229
47,18697
48,11893
49,13974
50,25855
51,19293
52,10814
53,11619
54,14708
55,18655
56,29401
57,32168
58,29439
59,20241
