ambulance_id,seconds_worked
0,13258
1,34275
2,13431
3,26075
4,25656
5,11005
6,15417
7,15830
8,20188
9,16217
10,15158
11,20356
12,20245
13,20252
14,7859
15,4327
16,12797
17,10424
18,15592
19,13023
20,23688
21,21495
22,19543
23,21152
24,19977
25,24636
26,25461
27,28033
28,16279
29,24789
30,27065
31,25351
32,24888
33,8401
34,26688
35,8562
36,18938
37,11663
38,18395
39,16253
40,13772
41,14524
42,13807
43,11596
44,14228
45,9743
46,16826
47,18400
48,25988
49,23313
50,14655
51,18062
52,25812
53,24297
54,16222
55,18496
