ambulance_id,seconds_worked
0,24270
1,26335
2,19565
3,2728
4,16363
5,6173
6,16345
7,14959
8,14122
9,34357
10,23626
11,16440
12,9322
13,10656
14,7811
15,4389
16,13152
17,20286
18,16539
19,11714
20,22204
21,22819
22,14978
23,21809
24,16161
25,29406
26,20493
27,24065
28,22614
29,23852
30,23239
31,32361
32,23789
33,28084
34,23303
35,19986
36,4322
37,8447
38,7771
39,3969
40,7791
41,24873
42,14763
43,7208
44,15440
45,7970
46,14239
47,5555
48,9717
49,12660
50,23377
51,16772
52,20676
53,13945
54,12078
55,11460
56,14168
57,30278
58,33027
