ambulance_id,seconds_worked
0,20002
1,8670
2,14584
3,21870
4,11971
5,11922
6,13475
7,12584
8,29650
9,22503
10,17960
11,22550
12,3203
13,31149
14,15896
15,18527
16,6193
17,23348
18,14699
19,23620
20,15079
21,14883
22,8185
23,5776
24,13853
25,1117
26,9903
27,20086
28,20483
29,17711
30,28720
31,13367
32,13551
33,31128
34,30015
35,25990
36,18424
37,16642
38,17606
39,24154
40,21810
41,22904
42,20692
43,18300
44,17449
45,15105
46,30275
47,25580
48,9021
49,17046
50,3717
51,20966
52,6007
53,12501
54,21812
55,8189
56,9341
57,17947
