ambulance_id,seconds_worked
0,24024
1,24117
2,14025
3,33549
4,6146
5,21204
6,14911
7,6356
8,11932
9,15949
10,5687
11,9859
12,12077
13,10585
14,17288
15,19953
16,12294
17,8876
18,20312
19,8206
20,12217
21,25145
22,15232
23,28571
24,24685
25,24914
26,18877
27,25847
28,20121
29,24872
30,21373
31,17579
32,18810
33,19607
34,23918
35,26864
36,27603
37,17750
38,23995
39,22303
40,15955
41,18548
42,14894
43,13802
44,13916
45,16628
46,17882
47,15339
48,28457
49,26935
50,20277
51,21366
52,18423
53,21779
54,20969
55,18182
56,6200
