ambulance_id,seconds_worked
0,27355
1,23040
2,10577
3,16615
4,31340
5,26496
6,24311
7,20517
8,15162
9,10207
10,2497
11,16479
12,2821
13,10562
14,5993
15,24175
16,22597
17,25576
18,23444
19,17143
20,26132
21,20766
22,20151
23,15384
24,35140
25,29716
26,33216
27,38009
28,35942
29,39008
30,24739
31,31638
32,22124
33,26740
34,32533
35,35807
36,26239
37,25933
38,20750
39,17963
40,23158
41,15269
42,27701
43,32814
44,38333
45,26493
46,19617
47,16135
48,25960
49,23548
50,29322
51,13221
52,10341
53,26031
54,30804
55,35821
56,33009
