ambulance_id,seconds_worked
0,21591
1,16642
2,19095
3,31697
4,36263
5,29628
6,15295
7,18245
8,19537
9,31105
10,24736
11,9973
12,8413
13,22064
14,12749
15,8112
16,20305
17,14687
18,22286
19,18870
20,19754
21,19586
22,16823
23,11351
24,21694
25,17760
26,33079
27,25608
28,31029
29,30898
30,30968
31,32214
32,20166
33,33526
34,22448
35,27656
36,28227
37,33870
38,36901
39,33005
40,15503
41,18161
42,23262
43,16319
44,32519
45,30613
46,28658
47,26830
48,25823
49,23183
50,29314
51,22113
52,24799
53,14083
54,4625
55,32919
56,42717
57,31897
