ambulance_id,seconds_worked
0,21785
1,20104
2,18510
3,33046
4,23670
5,16561
6,18357
7,12724
8,8449
9,17797
10,21220
11,15749
12,19176
13,23714
14,25760
15,18897
16,17732
17,13931
18,22844
19,19314
20,22559
21,19786
22,16125
23,32543
24,29676
25,36237
26,41131
27,38962
28,37384
29,25379
30,29799
31,24756
32,34721
33,34212
34,36123
35,21064
36,21471
37,16922
38,21558
39,11823
40,20890
41,26453
42,30007
43,28226
44,21912
45,25012
46,21507
47,38634
48,25485
49,25167
50,24799
51,32564
52,9732
53,37210
54,27291
55,33009
