ambulance_id,seconds_worked
0,19839
1,21601
2,29365
3,43981
4,24478
5,19743
6,18476
7,23018
8,7772
9,12539
10,14928
11,17504
12,8464
13,5940
14,28642
15,28629
16,24056
17,32433
18,18184
19,19051
20,25537
21,16782
22,16066
23,37358
24,25537
25,24342
26,30520
27,28788
28,39737
29,20603
30,30488
31,25047
32,28663
33,39857
34,31493
35,26771
36,22608
37,30648
38,19221
39,18240
40,16060
41,41124
42,25944
43,31826
44,26818
45,15709
46,25611
47,27521
48,31817
49,22326
50,20097
51,18163
52,35412
53,28468
54,37104
