ambulance_id,seconds_worked
0,32566
1,23226
2,15106
3,22517
4,31176
5,22648
6,28448
7,22893
8,17325
9,10508
10,10320
11,20663
12,16297
13,19657
14,20031
15,26008
16,20500
17,23848
18,29623
19,20468
20,23952
21,21738
22,16044
23,34489
24,31671
25,39350
26,33495
27,31302
28,33586
29,25814
30,22809
31,32846
32,42090
33,32530
34,34055
35,26796
36,14963
37,16627
38,16412
39,20275
40,31428
41,36759
42,30947
43,20862
44,21337
45,24376
46,29388
47,23855
48,21132
49,21522
50,12120
51,32651
52,33743
53,28333
