ambulance_id,seconds_worked
0,9264
1,34206
2,17820
3,24022
4,22171
5,22809
6,17465
7,24188
8,22872
9,5830
10,10468
11,10098
12,8381
13,5964
14,11403
15,0
16,23442
17,24500
18,16568
19,19854
20,14907
21,21019
22,17536
23,5960
24,19367
25,31801
26,26679
27,28267
28,36564
29,32891
30,34487
31,21177
32,28346
33,26127
34,33517
35,38804
36,29354
37,22787
38,30375
39,11246
40,18117
41,14350
42,21712
43,26481
44,30685
45,31871
46,28837
47,26900
48,14418
49,15739
50,26816
51,27895
52,17924
53,14156
54,19414
55,27834
56,25380
57,38633
58,31263
59,34393
